Id,Label
0,Kristy Swanson
1,Luke Perry
2,Rutger Hauer
3,Paul Reubens
4,Donald Sutherland
5,Pat Hingle
6,Billy Dee Williams
7,Michael Keaton
8,Lee Wallace
9,Kim Basinger
10,Jack Nicholson
11,Robert Wuhl
12,Jack Palance
13,Tracey Walter
14,Michael Gough
15,Lee Meriwether
16,Burgess Meredith
17,Adam West
18,Cesar Romero
19,Frank Gorshin
20,Alan Napier
21,Burt Ward
22,Neil Hamilton
23,George Clooney
24,John Glover
25,Arnold Schwarzenegger
26,Alicia Silverstone
27,Uma Thurman
28,Chris O'Donnell
29,Elle Macpherson
30,Slim Pickens
31,Tracy Reed
32,Peter Sellers
33,Peter Bull
34,Keenan Wynn
35,George C. Scott
36,Sterling Hayden
37,James Earl Jones
38,John Turturro
39,Jeff Bridges
40,Isabella Rossellini
41,Benicio del Toro
42,Tom Hulce
43,Deirdre O'Connell
44,Rosie Perez
45,Ming-Na
46,John DeMita
47,Peri Gilpin
48,Matt McKenzie
49,Alec Baldwin
50,James Woods
51,Ving Rhames
52,Steve Buscemi
53,David Rasner
54,Jean Simmons
55,Keith David
56,Chotaro Togin
57,Akihiko Hirata
58,Toru Ibuki
59,Jun Tazaki
60,Hideo Sunazuka
61,Eisei Amamoto
62,Akihiko Hirata
63,Ikio Sawamura
64,Akira Takarada
65,Toru Watanabe
66,Pair Bambi
67,Kumi Mizuno
68,Momoko Kochi
69,Takashi Shimura
70,Katsumi Tezuka
71,Haruo Nakajima
72,Dolores Fuller
73,"Ed Wood, Jr."
74,Lyle Talbot
75,Conrad Brooks
76,Béla Lugosi
77,Diedrich Bader
78,Ray Romano
79,Jack Black
80,Goran Višnji�?
81,John Leguizamo
82,Denis Leary
83,Bruce Cabot
84,Robert Armstrong
85,Fay Wray
86,Jean Reno
87,Danny Aiello
88,Gary Oldman
89,Natalie Portman
90,Laura Harring
91,James Karen
92,Michele Hicks
93,Ann Miller
94,Naomi Watts
95,Justin Theroux
96,Michael J. Anderson
97,Robert Forster
98,Katharine Towne
99,Melissa George
100,Dan Hedaya
101,Chad Everett
102,Mark Pellegrino
103,Michael Badalucco
104,Tim Blake Nelson
105,Daniel von Bargen
106,Stephen Root
107,Holly Hunter
108,Charles Durning
109,John Goodman
110,Antonio Banderas
111,Angelina Jolie
112,Jack Thompson
113,Thomas Jane
114,Alfred Hitchcock
115,Martin Balsam
116,John Gavin
117,Simon Oakland
118,Frank Albertson
119,John Anderson
120,Lurene Tuttle
121,Janet Leigh
122,Patricia Hitchcock
123,Vaughn Taylor
124,Mort Mills
125,Vera Miles
126,Anthony Perkins
127,John McIntire
128,Gates McFadden
129,Barbara March
130,Michael Dorn
131,William Shatner
132,Brent Spiner
133,Patti Yasutake
134,LeVar Burton
135,Gwynyth Walsh
136,Patrick Stewart
137,Jonathan Frakes
138,Alan Ruck
139,Michael Horton
140,Marina Sirtis
141,Alfre Woodard
142,Robert Picardo
143,Alice Krige
144,James Cromwell
145,Dwight Schultz
146,Neal McDonough
147,Majel Barrett
148,DeForest Kelley
149,Judson Scott
150,Ricardo Montalbán
151,Kirstie Alley
152,Leonard Nimoy
153,George Takei
154,James Doohan
155,Merritt Butrick
156,John Winston
157,Walter Koenig
158,Paul Kent
159,Ike Eisenmann
160,Paul Winfield
161,Nichelle Nichols
162,Bibi Besch
163,Kurt Russell
164,Jaye Davidson
165,James Spader
166,Michael Biehn
167,William Forsythe
168,Danny Nucci
169,Sean Connery
170,Luenell
171,Tony Todd
172,John Spencer
173,John C. McGinley
174,Bokeem Woodbine
175,Claire Forlani
176,Ed Harris
177,Vanessa Marcil
178,David Morse
179,Nicolas Cage
180,James Caviezel
181,David Morse
182,Joe Morton
183,Castulo Guerra
184,Robert Patrick
185,Edward Furlong
186,Linda Hamilton
187,Earl Boen
188,Xander Berkeley
189,Jenette Goldstein
190,Wilford Brimley
191,Joel Polis
192,David Clennon
193,Richard Dysart
194,Joel Polis
195,Peter Maloney
196,Charles Hallahan
197,Donald Moffat
198,Thomas G. Waites
199,T. K. Carter
200,Richard Masur
201,Robin Wright Penn
202,Billy Crystal
203,Peter Falk
204,Christopher Guest
205,Carol Kane
206,Cary Elwes
207,Peter Cook
208,Fred Savage
209,Mandy Patinkin
210,Wallace Shawn
211,Chris Sarandon
212,André the Giant
213,Bill Paxton
214,Matthew Settle
215,Harvey Keitel
216,Jon Bon Jovi
217,Thomas Kretschmann
218,Will Estes
219,Jack Noseworthy
220,Tom Guiry
221,Matthew McConaughey
222,Robin Askwith
223,Victor Sjöström
224,Ingrid Thulin
225,Bibi Andersson
226,Gunnar Björnstrand
227,Terence Alexander
228,Yevgeny Samoylov
229,Jack Hawkins
230,Orson Welles
231,Virginia McKenna
232,Ian Ogilvy
233,Christopher Plummer
234,Sergo Zakariadze
235,Rod Steiger
236,Dan O'Herlihy
237,Danny DeVito
238,Michael Douglas
239,Marianne Sägebrecht
