Source,Target,Type,Id,Label,Weight
0,7,Undirected,0,,1.0
0,37,Undirected,1,,1.0
0,154,Undirected,2,,1.0
0,185,Undirected,3,,1.0
0,265,Undirected,4,,1.0
0,729,Undirected,5,,1.0
0,856,Undirected,6,,1.0
0,912,Undirected,7,,1.0
0,972,Undirected,8,,1.0
0,1087,Undirected,9,,1.0
0,1215,Undirected,10,,1.0
0,1303,Undirected,11,,1.0
0,1531,Undirected,12,,1.0
0,1539,Undirected,13,,1.0
0,1577,Undirected,14,,1.0
0,1733,Undirected,15,,1.0
0,1820,Undirected,16,,1.0
0,1920,Undirected,17,,1.0
0,2109,Undirected,18,,1.0
0,2160,Undirected,19,,1.0
0,2173,Undirected,20,,1.0
0,2289,Undirected,21,,1.0
0,2315,Undirected,22,,1.0
0,2382,Undirected,23,,1.0
1,3,Undirected,24,,1.0
1,59,Undirected,25,,1.0
1,67,Undirected,26,,1.0
1,71,Undirected,27,,1.0
1,123,Undirected,28,,1.0
1,144,Undirected,29,,1.0
1,303,Undirected,30,,1.0
1,310,Undirected,31,,1.0
1,348,Undirected,32,,1.0
1,527,Undirected,33,,1.0
1,601,Undirected,34,,1.0
1,808,Undirected,35,,1.0
1,835,Undirected,36,,1.0
1,866,Undirected,37,,1.0
1,920,Undirected,38,,1.0
1,991,Undirected,39,,1.0
1,1008,Undirected,40,,1.0
1,1037,Undirected,41,,1.0
1,1179,Undirected,42,,1.0
1,1215,Undirected,43,,1.0
1,1227,Undirected,44,,1.0
1,1230,Undirected,45,,1.0
1,1242,Undirected,46,,1.0
1,1307,Undirected,47,,1.0
1,1312,Undirected,48,,1.0
1,1352,Undirected,49,,1.0
1,1385,Undirected,50,,1.0
1,1554,Undirected,51,,1.0
1,1641,Undirected,52,,1.0
1,1662,Undirected,53,,1.0
1,1715,Undirected,54,,1.0
1,1756,Undirected,55,,1.0
1,1800,Undirected,56,,1.0
1,1858,Undirected,57,,1.0
1,1961,Undirected,58,,1.0
1,2026,Undirected,59,,1.0
1,2064,Undirected,60,,1.0
1,2168,Undirected,61,,1.0
1,2219,Undirected,62,,1.0
1,2353,Undirected,63,,1.0
1,2365,Undirected,64,,1.0
1,2471,Undirected,65,,1.0
1,2496,Undirected,66,,1.0
2,104,Undirected,67,,1.0
2,438,Undirected,68,,1.0
2,635,Undirected,69,,1.0
2,917,Undirected,70,,1.0
2,1132,Undirected,71,,1.0
2,1159,Undirected,72,,1.0
2,1505,Undirected,73,,1.0
2,1579,Undirected,74,,1.0
2,1810,Undirected,75,,1.0
2,1840,Undirected,76,,1.0
2,1977,Undirected,77,,1.0
2,1994,Undirected,78,,1.0
2,2061,Undirected,79,,1.0
2,2154,Undirected,80,,1.0
2,2465,Undirected,81,,1.0
3,17,Undirected,82,,1.0
3,26,Undirected,83,,1.0
3,68,Undirected,84,,1.0
3,71,Undirected,85,,1.0
3,326,Undirected,86,,1.0
3,465,Undirected,87,,1.0
3,498,Undirected,88,,1.0
3,555,Undirected,89,,1.0
3,561,Undirected,90,,1.0
3,562,Undirected,91,,1.0
3,568,Undirected,92,,1.0
3,680,Undirected,93,,1.0
3,686,Undirected,94,,1.0
3,691,Undirected,95,,1.0
3,945,Undirected,96,,1.0
3,1151,Undirected,97,,1.0
3,1179,Undirected,98,,1.0
3,1268,Undirected,99,,1.0
3,1297,Undirected,100,,1.0
3,1306,Undirected,101,,1.0
3,1352,Undirected,102,,1.0
3,1641,Undirected,103,,1.0
3,1651,Undirected,104,,1.0
3,1662,Undirected,105,,1.0
3,1695,Undirected,106,,1.0
3,1760,Undirected,107,,1.0
3,1851,Undirected,108,,1.0
3,2025,Undirected,109,,1.0
3,2029,Undirected,110,,1.0
3,2052,Undirected,111,,1.0
3,2147,Undirected,112,,1.0
3,2159,Undirected,113,,1.0
5,59,Undirected,114,,1.0
5,66,Undirected,115,,1.0
5,67,Undirected,116,,1.0
5,277,Undirected,117,,1.0
5,487,Undirected,118,,1.0
5,552,Undirected,119,,1.0
5,703,Undirected,120,,1.0
5,717,Undirected,121,,1.0
5,788,Undirected,122,,1.0
5,927,Undirected,123,,1.0
5,955,Undirected,124,,1.0
5,1068,Undirected,125,,1.0
5,1159,Undirected,126,,1.0
5,1361,Undirected,127,,1.0
5,1503,Undirected,128,,1.0
5,1531,Undirected,129,,1.0
5,1537,Undirected,130,,1.0
5,1605,Undirected,131,,1.0
5,1683,Undirected,132,,1.0
5,1732,Undirected,133,,1.0
5,1952,Undirected,134,,1.0
5,2062,Undirected,135,,1.0
5,2079,Undirected,136,,1.0
5,2164,Undirected,137,,1.0
5,2326,Undirected,138,,1.0
5,2372,Undirected,139,,1.0
5,2384,Undirected,140,,1.0
5,2414,Undirected,141,,1.0
5,2434,Undirected,142,,1.0
6,17,Undirected,143,,1.0
6,36,Undirected,144,,1.0
6,70,Undirected,145,,1.0
6,185,Undirected,146,,1.0
6,264,Undirected,147,,1.0
6,410,Undirected,148,,1.0
6,425,Undirected,149,,1.0
6,604,Undirected,150,,1.0
6,606,Undirected,151,,1.0
6,680,Undirected,152,,1.0
6,716,Undirected,153,,1.0
6,717,Undirected,154,,1.0
6,817,Undirected,155,,1.0
6,854,Undirected,156,,1.0
6,875,Undirected,157,,1.0
6,920,Undirected,158,,1.0
6,990,Undirected,159,,1.0
6,1072,Undirected,160,,1.0
6,1120,Undirected,161,,1.0
6,1152,Undirected,162,,1.0
6,1235,Undirected,163,,1.0
6,1241,Undirected,164,,1.0
6,1273,Undirected,165,,1.0
6,1560,Undirected,166,,1.0
6,1652,Undirected,167,,1.0
6,1790,Undirected,168,,1.0
6,2072,Undirected,169,,1.0
6,2160,Undirected,170,,1.0
6,2173,Undirected,171,,1.0
6,2219,Undirected,172,,1.0
6,2249,Undirected,173,,1.0
6,2252,Undirected,174,,1.0
7,27,Undirected,175,,1.0
7,37,Undirected,176,,1.0
7,48,Undirected,177,,1.0
7,65,Undirected,178,,1.0
7,68,Undirected,179,,1.0
7,70,Undirected,180,,1.0
7,154,Undirected,181,,1.0
7,185,Undirected,182,,1.0
7,243,Undirected,183,,1.0
7,276,Undirected,184,,1.0
7,304,Undirected,185,,1.0
7,323,Undirected,186,,1.0
7,347,Undirected,187,,1.0
7,367,Undirected,188,,1.0
7,396,Undirected,189,,1.0
7,397,Undirected,190,,1.0
7,405,Undirected,191,,1.0
7,415,Undirected,192,,1.0
7,426,Undirected,193,,1.0
7,430,Undirected,194,,1.0
7,465,Undirected,195,,1.0
7,632,Undirected,196,,1.0
7,652,Undirected,197,,1.0
7,654,Undirected,198,,1.0
7,684,Undirected,199,,1.0
7,729,Undirected,200,,1.0
7,801,Undirected,201,,1.0
7,843,Undirected,202,,1.0
7,894,Undirected,203,,1.0
7,912,Undirected,204,,1.0
7,934,Undirected,205,,1.0
7,958,Undirected,206,,1.0
7,963,Undirected,207,,1.0
7,972,Undirected,208,,1.0
7,1007,Undirected,209,,1.0
7,1021,Undirected,210,,1.0
7,1028,Undirected,211,,1.0
7,1086,Undirected,212,,1.0
7,1087,Undirected,213,,1.0
7,1161,Undirected,214,,1.0
7,1243,Undirected,215,,1.0
7,1250,Undirected,216,,1.0
7,1259,Undirected,217,,1.0
7,1287,Undirected,218,,1.0
7,1303,Undirected,219,,1.0
7,1531,Undirected,220,,1.0
7,1539,Undirected,221,,1.0
7,1577,Undirected,222,,1.0
7,1646,Undirected,223,,1.0
7,1794,Undirected,224,,1.0
7,1920,Undirected,225,,1.0
7,1974,Undirected,226,,1.0
7,2099,Undirected,227,,1.0
7,2212,Undirected,228,,1.0
7,2315,Undirected,229,,1.0
7,2458,Undirected,230,,1.0
8,9,Undirected,231,,1.0
8,2155,Undirected,232,,1.0
9,489,Undirected,233,,1.0
9,1064,Undirected,234,,1.0
9,1465,Undirected,235,,1.0
9,2155,Undirected,236,,1.0
9,2349,Undirected,237,,1.0
10,1003,Undirected,238,,1.0
10,1761,Undirected,239,,1.0
12,328,Undirected,240,,1.0
12,375,Undirected,241,,1.0
12,511,Undirected,242,,1.0
12,525,Undirected,243,,1.0
12,680,Undirected,244,,1.0
12,867,Undirected,245,,1.0
12,910,Undirected,246,,1.0
12,933,Undirected,247,,1.0
12,1035,Undirected,248,,1.0
12,1225,Undirected,249,,1.0
12,1239,Undirected,250,,1.0
12,1278,Undirected,251,,1.0
12,1306,Undirected,252,,1.0
12,1408,Undirected,253,,1.0
12,1476,Undirected,254,,1.0
12,1582,Undirected,255,,1.0
12,1835,Undirected,256,,1.0
12,1890,Undirected,257,,1.0
12,2298,Undirected,258,,1.0
12,2300,Undirected,259,,1.0
12,2350,Undirected,260,,1.0
12,2412,Undirected,261,,1.0
12,2439,Undirected,262,,1.0
13,88,Undirected,263,,1.0
13,152,Undirected,264,,1.0
13,257,Undirected,265,,1.0
13,331,Undirected,266,,1.0
13,1910,Undirected,267,,1.0
14,37,Undirected,268,,1.0
14,40,Undirected,269,,1.0
14,45,Undirected,270,,1.0
14,48,Undirected,271,,1.0
14,58,Undirected,272,,1.0
14,60,Undirected,273,,1.0
14,61,Undirected,274,,1.0
14,69,Undirected,275,,1.0
14,386,Undirected,276,,1.0
14,578,Undirected,277,,1.0
