Id,Label
0,Buffy the Vampire Slayer
1,Batman
2,Batman
3,Batman & Robin
4,Cutaway
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
6,Fearless
7,Final Fantasy: The Spirits Within
8,Godzilla vs. the Sea Monster
9,Godzilla
10,Glen or Glenda?
11,Insert
12,Ice Age
13,King Kong
14,Léon
15,Manufacturing Consent: Noam Chomsky and the Media
16,Mulholland Drive
17,"O Brother, Where Art Thou?"
18,Original Sin
19,Psycho
20,Star Trek: Generations
21,Star Trek: First Contact
22,Star Trek II: The Wrath of Khan
23,Split screen
24,Stargate
25,The Rock
26,Terminator 2: Judgment Day
27,John Carpenter's The Thing
28,Trekkies
29,The Princess Bride
30,Tenchi Muyo!
31,U-571
32,Wild Strawberries
33,Waterloo
34,The War of the Roses
35,2001: A Space Odyssey
36,Traffic
37,JFK
38,Gentleman's Agreement
39,Crossfire
40,Anywhere But Here
41,Chang
42,Gulliver's Travels
43,K-19: The Widowmaker
44,Lawrence of Arabia
45,Heat
46,American Beauty
47,San Francisco
48,Where the Heart Is
49,Green Card
50,Grand Hotel
51,Animal Crackers
52,Incubus
53,Airplane!
54,Metropolis
55,Lara Croft: Tomb Raider
56,X-Men
57,The Song Remains the Same
58,French Kiss
59,Star Wars Episode VI: Return of the Jedi
60,Star Wars Episode I: The Phantom Menace
61,Star Wars Episode II: Attack of the Clones
62,Breakfast at Tiffany's
63,Titanic
64,Independence Day
65,Armageddon
66,Star Wars Episode IV: A New Hope
67,Star Wars Episode V: The Empire Strikes Back
68,Pulp Fiction
69,Star Wars Episode III: Revenge of the Sith
70,Miller's Crossing
71,Sleepy Hollow
72,Casablanca
73,Tora! Tora! Tora!
74,The Manchurian Candidate
75,Wall Street
76,The Good Earth
77,It's a Wonderful Life
78,The Red Shoes
79,State Fair
80,Wings
81,Seventh Heaven
82,Skippy
83,Trader Horn
84,Shanghai Express
85,Smilin' Through
86,Cleopatra
87,The Thin Man
88,Viva Villa!
89,The Patriot
90,The Big House
91,Disraeli
92,Captain Blood
93,The Informer
94,Les Misérables
95,"Personal History, Adventures, Experience, and Observation of David Copperfield the Younger"
96,Top Hat
97,A Tale of Two Cities
98,Lost Horizon
99,Sunrise
100,The Adventures of Robin Hood
101,Alexander's Ragtime Band
102,Grand Illusion
103,Test Pilot
104,Of Mice and Men
105,Stagecoach
106,Alice in Wonderland
107,Foreign Correspondent
108,Day of the Dead
109,Apt Pupil
110,Lenny
111,A Knight's Tale
112,Schindler's List
113,Rigoletto
114,Maryam
115,M
116,Clue
117,Above the Law
118,Under Siege 2: Dark Territory
119,Ticker
120,Strategic Air Command
121,The Caine Mutiny
122,Adam's Rib
123,Chinatown
124,Badlands
125,The Jazz Singer
126,Bonnie and Clyde
127,The General
128,Jurassic Park
129,McCabe & Mrs. Miller
130,"I, the Jury"
131,Guess Who's Coming to Dinner
132,Dune
133,Signs
134,Aladdin
135,The Cheat
136,Sullivan's Travels
137,Civilization
138,Cologne: From the Diary of Ray and Esther
139,Cops
140,David Holzman's Diary
141,Detour
142,Double Indemnity
143,E.T. the Extra-Terrestrial
144,Easy Rider
145,Eaux d'artifice
146,El Norte
147,The Fall of the House of Usher
148,Fantasia
149,Fatty's Tintype Tangle
150,Flash Gordon
151,Frankenstein
152,Fury
153,Man Bites Dog
154,Six Degrees of Separation
155,The Cruise
156,Grass
157,The Great Train Robbery
158,Greed
159,Hell's Hinges
160,High School
161,Andromeda
162,Hospital
163,How the West Was Won
164,Brazil
165,The Italian
166,Jam Session
167,Jammin' the Blues
168,Jaws
169,Jazz on a Summer's Day
170,King: a Filmed Record...Montgomery To Memphis
171,The Last of the Mohicans
172,Laura
173,Let's All Go to the Lobby
174,The Life and Death of 9413: a Hollywood Extra
175,The Life and Time of Rosie the Riveter
176,Manhattan
177,March of Time: Inside Nazi Germany--1938
178,Marian Anderson: the Lincoln Memorial Concert
179,The Miracle of Morgan's Creek
180,Modern Times
181,Morocco
182,Motion Painting No. 1
183,Suspicion
184,Nashville
185,National Lampoon's Animal House
186,A Night at the Opera
187,The Night of the Hunter
188,Rope
189,Z
190,La Reine Margot
191,Ran
192,Planet of the Apes
193,Poor Little Rich Girl
194,The Producers
195,Red River
196,Regeneration
197,The River
198,Safety Last!
199,Salesman
200,Salomé
201,Scarface
202,The Searchers
203,Shadows
204,Shaft
205,"Sherlock, Jr."
206,Sherman's March
207,Show Boat
208,Sky High
209,Snow White
210,Snow White and the Seven Dwarfs
211,Sunset Boulevard
212,Tabu
213,The Tell-Tale Heart
214,The Ten Commandments
215,The Thief of Bagdad
216,The Thing
217,To Be or Not to Be
218,To Fly!
219,Topaz
220,Twelve O'Clock High
221,The Transformers: The Movie
222,"It's a Mad, Mad, Mad, Mad World"
223,Vertigo
224,"What's Opera, Doc?"
225,Where Are My Children?
226,Will Success Spoil Rock Hunter?
227,Oklahoma
228,The Pied Piper
229,Wake Island
230,Heaven Can Wait
231,Madame Curie
232,The Song of Bernadette
233,Wayne's World
234,Hans Christian Andersen
235,Mary Poppins
236,Anchors Aweigh
237,The Bells of St. Mary's
238,Johnny Mnemonic
239,Spellbound
240,Henry V
241,The Yearling
242,The Bishop's Wife
243,Hamlet
244,Battleground
245,Father of the Bride
246,King Solomon's Mines
247,Rio Bravo
248,Julius Caesar
249,Witness
250,The Lady Vanishes
251,The Craft
252,Stand by Me
253,Halloween
254,Ferris Bueller's Day Off
255,Star Trek IV: The Voyage Home
256,China O'Brien
257,Dodge City
258,Out of Africa
259,Three Coins in the Fountain
260,Love Is a Many-Splendored Thing
261,Picnic
262,Friendly Persuasion
263,Giant
264,Heaven's Gate
265,Blow
266,Tom Jones
267,Darling
268,The Swan
269,Roger & Me
270,"The Russians Are Coming, the Russians Are Coming"
271,The Sand Pebbles
272,Dogma
273,Doctor Dolittle
274,Romeo and Juliet
275,Speed
276,Pearl Harbor
277,Patton
278,Airport
279,The French Connection
280,Cabin Boy
281,Party Girl
282,Hamlet
283,Hamlet
284,Hamlet
285,Network
286,The English Patient
287,Michael Collins
288,That Thing You Do!
289,Heaven Can Wait
290,Midnight Express
291,Dead Men Don't Wear Plaid
292,Royal Space Force: The Wings of Honneamise
293,The Class of Nuke 'Em High
294,Tromeo & Juliet
295,Trainspotting
296,Coal Miner's Daughter
297,The Elephant Man
298,Atlantic City
299,Missing
300,Mr. Magoo's Christmas Carol
301,Dragnet
302,A Soldier's Story
303,Prizzi's Honor
304,Platoon
305,Scream
306,Topkapi
307,Uranus
308,Fail-Safe
309,Jailhouse Rock
310,Broadcast News
311,My Left Foot
312,Ghost
313,The Godfather Part III
314,Beauty and the Beast
315,Howards End
316,Poltergeist
317,Minority Report
318,A.I.
319,Groundhog Day
320,Apollo 13
321,Babe
322,Sense and Sensibility
323,Fargo
324,Shine
325,Elizabeth
326,The Thin Red Line
327,The Insider
328,Moulin Rouge!
329,Braindead
330,The Circus
331,Thunderbolt
332,Bulldog Drummond
333,Condemned
334,Thunderbolt
335,The War of the Worlds
336,The Boys from Brazil
337,Alphaville
338,Conspiracy Theory
339,Dr. Jekyll and Mr. Hyde
340,Star Trek V: The Final Frontier
341,The Face Behind the Mask
342,Abe Lincoln in Illinois
343,The Gospel According to St. Matthew
344,Darby O'Gill and the Little People
345,Spider-Man
346,Shoah
347,Laputa: Castle in the Sky
348,Wayne's World 2
349,Austin Powers: Goldmember
350,Austin Powers: International Man of Mystery
351,Donovan's Reef
352,Trent's Last Case
353,Film
354,Les Diaboliques
355,"It's the Great Pumpkin, Charlie Brown"
356,Blue
357,Three Colors: Blue
358,Champion
359,Quo Vadis
360,Ocean's Eleven
361,Three Colors: White
362,Three Colors: Red
363,Heavy Metal
364,Blue
365,Blue
366,Time After Time
367,Baby Boy
368,Viva Zapata!
369,Star Trek Nemesis
370,Star Trek: Insurrection
371,"Aguirre, der Zorn Gottes"
372,Bill & Ted's Excellent Adventure
373,You've Got Mail
374,Max Keeble's Big Move
375,High Fidelity
376,Star Trek VI: The Undiscovered Country
377,The Adventures of Robinson Crusoe
378,Love Me or Leave Me
379,Lust for Life
380,Days of Wine and Roses
381,Hud
382,The Fixer
383,Jerky Boys: The Movie
384,The Hostage
385,Sleuth
386,Ronin
387,Julia
388,Mobile Suit Gundam: Char's Counterattack
389,"Give 'em Hell, Harry!"
390,Percy
391,...And Justice for All
392,Tribute
393,Arthur
394,Love and Kisses
395,Reign of Fire
396,Lilo & Stitch
397,Hercules
398,The Black Stallion
399,Lady Windermere's Fan
400,Star Theatre
401,Theodore Case Sound Test: Gus Visser and his Singing Duck
402,Queer as Folk
403,In & Out
404,Victim
405,Spartacus
406,Men in Black
407,P.S. Your Cat Is Dead
408,Lady Caroline Lamb
409,"Reuben, Reuben"
410,Starman
411,Murphy's Romance
412,Runaway Train
413,Round Midnight
414,Mona Lisa
415,Salvador
416,"Truly, Madly, Deeply"
417,Friday the 13th
418,Friday
419,The Dam Busters
420,Harvey
421,Henry V
422,Cape Fear
423,Cape Fear
424,Restoration
425,The Fisher King
426,Chaplin
