Id,Label,Grado,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,PageRank,Modularity Class
929,L. M. Kit Carson,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,0
991,Benoît Poelvoorde,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,1
995,Stanis�?aw Tym,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,2
1012,William S. Hart,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,3
1044,Chuck Berry,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,4
2149,Brad Swaile,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,5
2374,Michel Bouquet,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,6
2707,Eiji Okuda,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,7
2972,Dennis Weaver,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,8
3062,Miyu Irino,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,9
3557,Mathieu Carrière,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,10
3765,Dave Attell,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,11
3790,Bob Flanagan,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,12
3937,Barbara Carrera,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,13
4024,David Gilmour,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,14
4241,Juliet Cesario,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,15
4728,Debrah Farentino,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,16
4735,Kirsten Rolffes,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,17
4873,Michael Peter Balzary,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,18
4925,August Diehl,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,19
5019,Patricio Contreras,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,20
5171,Mimsy Farmer,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,21
5354,Dean Andrews,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,22
5374,Bernard Landry,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,23
5375,Zhou Xun,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,24
5472,Marjorie Rambeau,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,25
5491,Robert Crumb,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,26
5665,Bruce Byron,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,27
5667,Niall O'Shea,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,28
5799,Sihung Lung,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,29
5886,Annabel Chong,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,30
6001,Fabrizio Bentivoglio,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,31
6002,Aleksandra �?l�?ska,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,32
6048,Sergio Corrieri,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,33
6247,Christy Chung,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,34
6252,Teruyuki Kagawa,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,35
6453,Carmelo Gómez,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,36
6454,Donald MacRae,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,37
6475,Dolly Read,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,38
6608,Jane March,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,39
6629,Kristen Thomson,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,40
6674,Bob Peterson,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,41
6794,Melvin Van Peebles,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,42
6835,Christopher Carley,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,43
6958,Olga San Juan,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,44
7035,Ajay Devgan,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,45
7044,Madeleine Reynal,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,46
7100,Charleton Heston,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,47
7156,Anthony Piana,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,48
7196,Robert McNamara,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,49
7271,Adam Huss,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,50
7405,"Timothy ""Speed"" Levitch",0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,51
7423,Stephen Hawking,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,52
7595,Christopher Murphy,0,0.0,0.0,0.0,0.0,1.9594778899018934E-5,53
794,Shohreh Aghdashloo,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,54
795,David Ackert,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,54
965,Roscoe Arbuckle,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,55
966,Bobby Dunn,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,55
1000,Broncho Billy Anderson,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,56
1001,Justus D. Barnes,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,56
1033,J. Frank Burke,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,57
1034,George Beban,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,57
1148,Jack McCann,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,58
1149,James A. Marcus,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,58
1197,J. Farrell MacDonald,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,59
1198,Tom Mix,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,59
1998,Bill Melendez,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,60
1999,Peter Robbins,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,60
2380,Jang Dong-gun,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,61
5768,Won Bin,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,61
3101,Rivka Neumann,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,62
3102,Brian Deacon,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,62
3400,Franco Citti,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,63
3401,Ninetto Davoli,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,63
3535,Oliver Hardy,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,64
3536,Stan Laurel,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,64
3691,Ariane Ascaride,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,65
3692,Jimmy Tavares,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,65
3760,Etsushi Toyokawa,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,66
3761,Miho Nakayama,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,66
4211,Hidetoshi Nishijima,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,67
4212,Miho Kanno,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,67
4543,David Harris,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,68
4544,Randall Dale Adams,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,68
4551,Jack Holt,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,69
4552,Lila Lee,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,69
4722,Rolan Bykov,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,70
4723,Nonna Mordyukova,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,70
5137,Josh Rushing,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,71
5138,Samir Khader,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,71
5205,Lena Stolze,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,72
5206,Wulf Kessler,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,72
5339,Paul Panzer,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,73
5340,Gladys Hulette,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,73
5389,Camilla Power,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,74
5390,Kristýna Kohoutová,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,74
5415,Nicolai Cleve Broch,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,75
5416,Ewa Fröling,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,75
5521,Dariusz Biskupski,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,76
5522,Ma�?gorzata Foremniak,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,76
5592,Setti Ramdane,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,77
5593,Sandrine Bonnaire,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,77
5649,Ge You,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,78
5650,Jiang Wen,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,78
5690,Irina Björklund,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,79
5691,Petteri Summanen,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,79
5743,Eriq Ebouaney,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,80
5744,Alex Descas,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,80
5854,Jenny Seagrove,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,81
5855,Carey Lowell,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,81
6052,Jimmy Aubrey,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,82
6053,Bud Jamison,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,82
6121,Leon Breitenborn,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,83
6122,Eileen Eilender,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,83
6278,Olaf Fønss,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,84
6279,Ida Orloff,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,84
6338,Bulle Ogier,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,85
6339,Jean-Pierre Kalfon,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,85
6398,Shane Carruth,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,86
6399,David Sullivan,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,86
6514,Mix Master Mike,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,87
6515,Grand Wizard Theodore,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,87
6520,Clemens Scheitz,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,88
6521,Josef Bierbichler,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,88
6583,Sam Smith,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,89
6584,David Ross,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,89
6807,Germain Houde,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,90
6808,Marie Tifo,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,90
6922,Christina Vidal,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,91
6923,Glen Jacobs,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,91
7161,Leni Riefenstahl,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,92
7162,Mathias Wieman,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,92
7200,Naomi Chance,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,93
7201,Louis Hayward,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,93
7287,Gary Sweet,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,94
7288,Helen Buday,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,94
7475,Michiel Huisman,1,1.0,1.0,0.0,0.0,1.306318593267934E-4,95
