Id,Label,Grado,Clustering Coefficient,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree
0,Buffy the Vampire Slayer,24,0.36594202898550726,6.0,2.915936049510057,1153.0643710967454,200,24.0
1,Batman,43,0.19047619047619047,7.0,2.780299123259412,6888.269741553232,264,43.0
2,Batman,15,0.3047619047619048,7.0,3.0990201134605466,1381.3925746089778,89,15.0
3,Batman & Robin,33,0.1856060606060606,7.0,2.8746776689014957,1973.222385876661,246,33.0
4,Cutaway,0,0.0,0.0,0.0,0.0,0,0.0
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,29,0.20689655172413793,6.0,2.9025270758122743,5362.607644212276,208,29.0
6,Fearless,32,0.26411290322580644,7.0,2.900464156781846,1084.7165959227477,172,32.0
7,Final Fantasy: The Spirits Within,57,0.17293233082706766,6.0,2.6395048994326973,8006.688606673099,200,57.0
8,Godzilla vs. the Sea Monster,2,1.0,8.0,5.3058277462609595,0.0,208,2.0
9,Godzilla,6,0.3333333333333333,7.0,4.3073749355337805,7740.5,208,6.0
10,Glen or Glenda?,2,0.0,8.0,3.8318720990201136,1039.4526053708864,89,2.0
11,Insert,0,0.0,0.0,0.0,0.0,1,0.0
12,Ice Age,23,0.3241106719367589,7.0,2.9644146467251162,624.8370655074497,220,23.0
13,King Kong,5,0.4,7.0,3.998968540484786,205.88136741076696,89,5.0
14,Léon,30,0.29195402298850576,7.0,2.935018050541516,1351.6657229141877,200,30.0
15,Manufacturing Consent: Noam Chomsky and the Media,0,0.0,0.0,0.0,0.0,2,0.0
16,Mulholland Drive,27,0.23646723646723647,6.0,2.9123259412068077,8311.843686872813,290,27.0
17,"O Brother, Where Art Thou?",33,0.2196969696969697,7.0,2.865394533264569,2145.0505907319625,200,33.0
18,Original Sin,19,0.25146198830409355,7.0,3.148014440433213,1823.1394935212813,9,19.0
19,Psycho,20,0.10526315789473684,6.0,3.108303249097473,4914.157268345901,89,20.0
20,Star Trek: Generations,28,0.3492063492063492,7.0,3.0195977307890667,2066.9647847959727,3,28.0
21,Star Trek: First Contact,36,0.24444444444444444,7.0,2.931407942238267,2114.011785066205,3,36.0
22,Star Trek II: The Wrath of Khan,21,0.2714285714285714,6.0,3.1170706549767924,2508.855301470766,246,21.0
23,Split screen,0,0.0,0.0,0.0,0.0,4,0.0
24,Stargate,15,0.47619047619047616,7.0,3.1253223310985043,327.2617430103191,264,15.0
25,The Rock,54,0.11809923130677848,6.0,2.6766374419804024,9267.203226388516,172,54.0
26,Terminator 2: Judgment Day,25,0.23,7.0,3.0422898401237752,1314.2738780504533,246,25.0
27,John Carpenter's The Thing,34,0.18716577540106952,7.0,2.882413615265601,4245.909946901861,275,34.0
28,Trekkies,0,0.0,0.0,0.0,0.0,5,0.0
29,The Princess Bride,37,0.14114114114114115,6.0,2.7349149045899948,6994.757122499954,3,37.0
30,Tenchi Muyo!,0,0.0,0.0,0.0,0.0,6,0.0
31,U-571,31,0.21505376344086022,7.0,2.9241877256317688,3237.9342898371383,194,31.0
32,Wild Strawberries,5,0.5,7.0,4.09850438370294,70.16757818915882,281,5.0
33,Waterloo,31,0.3010752688172043,6.0,2.8684889118102115,4160.994099301797,208,31.0
34,The War of the Roses,15,0.49523809523809526,7.0,3.074780814853017,223.11341021877504,246,15.0
35,2001: A Space Odyssey,4,0.6666666666666666,7.0,3.631768953068592,14.864956471085,89,4.0
36,Traffic,35,0.13781512605042018,7.0,2.876740587931924,2945.560087646216,563,35.0
37,JFK,92,0.09746774964166269,6.0,2.514182568334193,23157.098272504056,200,92.0
38,Gentleman's Agreement,16,0.3416666666666667,6.0,3.3723568849922643,1960.504869875691,89,16.0
39,Crossfire,17,0.3602941176470588,6.0,3.123259412068076,2448.219649845198,89,17.0
40,Anywhere But Here,19,0.49122807017543857,6.0,2.9706034038164004,379.3428811739991,563,19.0
41,Chang,0,0.0,0.0,0.0,0.0,7,0.0
42,Gulliver's Travels,0,0.0,0.0,0.0,0.0,8,0.0
43,K-19: The Widowmaker,25,0.3,7.0,2.995874161939144,2854.285758000722,208,25.0
44,Lawrence of Arabia,40,0.13333333333333333,6.0,2.9112944816915935,13573.275532779206,208,40.0
45,Heat,99,0.10678210678210678,6.0,2.5342960288808665,18968.436024789167,9,99.0
46,American Beauty,26,0.16615384615384615,7.0,2.9541000515729756,2407.875125258026,563,26.0
47,San Francisco,16,0.6166666666666667,7.0,3.526044352759154,370.7259315434451,89,16.0
48,Where the Heart Is,46,0.14589371980676327,6.0,2.744713769984528,4648.78551296238,275,46.0
49,Green Card,13,0.46153846153846156,7.0,3.1258380608561116,578.3909443094719,228,13.0
50,Grand Hotel,19,0.17543859649122806,7.0,3.4579680247550284,8045.385618584054,89,19.0
51,Animal Crackers,6,1.0,8.0,4.324394017534812,0.0,89,6.0
52,Incubus,7,1.0,7.0,3.5678184631253225,0.0,246,7.0
53,Airplane!,18,0.1568627450980392,6.0,2.9788550799381124,3558.222209103344,172,18.0
54,Metropolis,4,0.6666666666666666,8.0,4.707065497679216,968.0,89,4.0
55,Lara Croft: Tomb Raider,32,0.2540322580645161,7.0,2.928313563692625,1656.927588272327,9,32.0
56,X-Men,51,0.19607843137254902,6.0,2.7271789582258896,4798.807792009464,3,51.0
57,The Song Remains the Same,0,0.0,0.0,0.0,0.0,10,0.0
58,French Kiss,24,0.3007246376811594,6.0,3.0201134605466735,753.4203413324194,9,24.0
59,Star Wars Episode VI: Return of the Jedi,33,0.2840909090909091,6.0,2.8643630737493555,1876.5794311309194,208,33.0
60,Star Wars Episode I: The Phantom Menace,63,0.19406041986687148,7.0,2.704486848891181,6036.772790436891,290,63.0
61,Star Wars Episode II: Attack of the Clones,47,0.299722479185939,7.0,2.770500257864879,2726.9579068683206,290,47.0
62,Breakfast at Tiffany's,17,0.19117647058823528,7.0,3.141309953584322,3812.783592780661,89,17.0
63,Titanic,59,0.10344827586206896,7.0,2.7013924703455388,10562.481091929054,194,59.0
64,Independence Day,45,0.11212121212121212,6.0,2.821041774110366,5903.431790997947,3,45.0
65,Armageddon,89,0.11006128702757917,7.0,2.6028880866425994,13740.84439721681,563,89.0
66,Star Wars Episode IV: A New Hope,42,0.22067363530778164,6.0,2.8261990716864362,5535.239774153974,208,42.0
67,Star Wars Episode V: The Empire Strikes Back,45,0.19797979797979798,6.0,2.751418256833419,7361.07209425116,208,45.0
68,Pulp Fiction,93,0.14329125759700795,7.0,2.5652398143372874,11767.110414547173,290,93.0
69,Star Wars Episode III: Revenge of the Sith,50,0.27183673469387754,7.0,2.7519339865910264,3243.425361615693,290,50.0
70,Miller's Crossing,40,0.21666666666666667,7.0,2.8231046931407944,2267.3153147502617,194,40.0
71,Sleepy Hollow,63,0.14183307731694828,7.0,2.7091284167096443,6702.55068111213,194,63.0
72,Casablanca,25,0.20666666666666667,7.0,3.186694172253739,7476.165934226083,89,25.0
73,Tora! Tora! Tora!,20,0.15789473684210525,6.0,2.924703455389376,3931.4762345932645,89,20.0
74,The Manchurian Candidate,17,0.16176470588235295,6.0,3.1743166580711706,2542.158960769463,89,17.0
75,Wall Street,58,0.12885662431941924,6.0,2.6988138215575037,8360.6132872689,264,58.0
76,The Good Earth,5,0.1,8.0,4.265085095410005,2049.725484346091,89,5.0
77,It's a Wonderful Life,18,0.3464052287581699,7.0,3.3099535843218155,2577.744241601677,89,18.0
78,The Red Shoes,5,0.3,7.0,4.024755028365137,139.5102325290903,89,5.0
79,State Fair,7,0.09523809523809523,7.0,3.69778236204229,4453.702557270061,89,7.0
80,Wings,10,0.24444444444444444,7.0,3.928829293450232,3704.8131376947827,89,10.0
