Source,Target,Type,Id,Label,Weight
3917934,1157957,Undirected,0,,1
3917934,840055,Undirected,1,,1
3917934,1644957,Undirected,2,,1
3917934,861153,Undirected,3,,1
1157957,840055,Undirected,4,,1
1157957,1644957,Undirected,5,,1
1157957,861153,Undirected,6,,1
840055,1644957,Undirected,7,,1
840055,861153,Undirected,8,,1
1644957,861153,Undirected,9,,1
5029599,6250533,Undirected,10,,1
5029599,1821115,Undirected,11,,1
5029599,6245270,Undirected,12,,1
5029599,3236709,Undirected,13,,1
6250533,1821115,Undirected,14,,1
6250533,6245270,Undirected,15,,1
6250533,3236709,Undirected,16,,1
1821115,6245270,Undirected,17,,1
1821115,3236709,Undirected,18,,1
6245270,3236709,Undirected,19,,1
3236709,1083994,Undirected,20,,1
3236709,4518268,Undirected,21,,1
3236709,3384936,Undirected,22,,1
3236709,1467223,Undirected,23,,1
2131290,6535652,Undirected,24,,1
2131290,3908898,Undirected,25,,1
2131290,5504592,Undirected,26,,1
2131290,973693,Undirected,27,,1
6535652,3908898,Undirected,28,,1
6535652,5504592,Undirected,29,,1
6535652,973693,Undirected,30,,1
3908898,5504592,Undirected,31,,1
3908898,973693,Undirected,32,,1
5504592,973693,Undirected,33,,1
3853045,2040280,Undirected,34,,1
3853045,5015973,Undirected,35,,1
3853045,7398131,Undirected,36,,1
3853045,1185023,Undirected,37,,1
2040280,5015973,Undirected,38,,1
2040280,7398131,Undirected,39,,1
2040280,1185023,Undirected,40,,1
5015973,7398131,Undirected,41,,1
5015973,1185023,Undirected,42,,1
7398131,1185023,Undirected,43,,1
2876405,2053152,Undirected,44,,1
2876405,547565,Undirected,45,,1
2876405,299065,Undirected,46,,1
2876405,3539161,Undirected,47,,1
2053152,547565,Undirected,48,,1
2053152,299065,Undirected,49,,1
2053152,3539161,Undirected,50,,1
547565,299065,Undirected,51,,1
547565,3539161,Undirected,52,,1
299065,3539161,Undirected,53,,1
1855274,1655561,Undirected,54,,1
1855274,479385,Undirected,55,,1
1855274,4587013,Undirected,56,,1
1855274,1389861,Undirected,57,,2
1855274,2387206,Undirected,58,,1
1855274,1432185,Undirected,59,,1
1855274,4378691,Undirected,60,,1
1655561,479385,Undirected,61,,1
1655561,4587013,Undirected,62,,1
1655561,1389861,Undirected,63,,1
479385,4587013,Undirected,64,,1
479385,1389861,Undirected,65,,1
4587013,1389861,Undirected,66,,1
1389861,2387206,Undirected,67,,1
1389861,1432185,Undirected,68,,1
1389861,4378691,Undirected,69,,1
1389861,8771820,Undirected,70,,1
1389861,177024,Undirected,71,,1
1389861,6936488,Undirected,72,,1
1389861,3234707,Undirected,73,,1
2387206,1432185,Undirected,74,,1
2387206,4378691,Undirected,75,,1
2387206,5896645,Undirected,76,,1
2387206,11468326,Undirected,77,,1
2387206,351663,Undirected,78,,1
2387206,12586897,Undirected,79,,1
1432185,4378691,Undirected,80,,1
1659872,10740035,Undirected,81,,1
1659872,1075406,Undirected,82,,1
1659872,1041078,Undirected,83,,1
1659872,10629613,Undirected,84,,1
10740035,1075406,Undirected,85,,1
10740035,1041078,Undirected,86,,1
10740035,10629613,Undirected,87,,1
1075406,1041078,Undirected,88,,1
1075406,10629613,Undirected,89,,1
1041078,10629613,Undirected,90,,1
1427705,2894233,Undirected,91,,1
1427705,3913802,Undirected,92,,1
1427705,1108522,Undirected,93,,1
1427705,1809499,Undirected,94,,1
2894233,3913802,Undirected,95,,1
2894233,1108522,Undirected,96,,1
2894233,1809499,Undirected,97,,1
3913802,1108522,Undirected,98,,1
3913802,1809499,Undirected,99,,1
1108522,1809499,Undirected,100,,1
1108522,761551,Undirected,101,,1
1108522,274316,Undirected,102,,1
1108522,1295802,Undirected,103,,1
1108522,2187225,Undirected,104,,1
9329491,3355415,Undirected,105,,1
9329491,5882472,Undirected,106,,1
9329491,4657068,Undirected,107,,1
9329491,5573221,Undirected,108,,1
3355415,5882472,Undirected,109,,1
3355415,4657068,Undirected,110,,1
3355415,5573221,Undirected,111,,1
5882472,4657068,Undirected,112,,1
5882472,5573221,Undirected,113,,1
4657068,5573221,Undirected,114,,1
123114,1925463,Undirected,115,,1
123114,16387,Undirected,116,,1
123114,1961589,Undirected,117,,1
123114,2083692,Undirected,118,,1
123114,1497589,Undirected,119,,2
123114,428395,Undirected,120,,1
123114,335430,Undirected,121,,1
123114,440611,Undirected,122,,1
123114,7400804,Undirected,123,,1
123114,429730,Undirected,124,,1
123114,7323189,Undirected,125,,1
1925463,16387,Undirected,126,,1
1925463,1961589,Undirected,127,,1
1925463,2083692,Undirected,128,,1
1925463,1359797,Undirected,129,,1
1925463,1265720,Undirected,130,,1
1925463,567766,Undirected,131,,1
1925463,2423187,Undirected,132,,1
16387,1961589,Undirected,133,,1
16387,2083692,Undirected,134,,1
1961589,2083692,Undirected,135,,1
1359797,771131,Undirected,136,,1
1359797,668162,Undirected,137,,1
1359797,761551,Undirected,138,,2
1359797,1168895,Undirected,139,,1
1359797,1497589,Undirected,140,,1
1359797,6390713,Undirected,141,,1
1359797,6467180,Undirected,142,,1
1359797,614691,Undirected,143,,2
1359797,1265720,Undirected,144,,1
1359797,567766,Undirected,145,,3
1359797,2423187,Undirected,146,,1
1359797,428395,Undirected,147,,1
1359797,1076590,Undirected,148,,1
1359797,6354428,Undirected,149,,1
1359797,173968,Undirected,150,,1
1359797,3885666,Undirected,151,,1
1359797,297984,Undirected,152,,1
1359797,284330,Undirected,153,,1
1359797,5708381,Undirected,154,,1
771131,668162,Undirected,155,,1
771131,761551,Undirected,156,,1
771131,1168895,Undirected,157,,1
668162,761551,Undirected,158,,2
668162,1168895,Undirected,159,,1
668162,1497589,Undirected,160,,1
668162,3964613,Undirected,161,,1
668162,251070,Undirected,162,,1
668162,6325948,Undirected,163,,1
668162,5352720,Undirected,164,,1
668162,898095,Undirected,165,,1
668162,1331135,Undirected,166,,1
761551,1168895,Undirected,167,,1
761551,1497589,Undirected,168,,2
761551,614691,Undirected,169,,1
761551,1692235,Undirected,170,,1
761551,567766,Undirected,171,,2
761551,3964613,Undirected,172,,1
761551,251070,Undirected,173,,1
761551,428395,Undirected,174,,1
761551,284330,Undirected,175,,1
761551,5708381,Undirected,176,,1
761551,274316,Undirected,177,,1
761551,1295802,Undirected,178,,1
761551,2187225,Undirected,179,,1
761551,709355,Undirected,180,,1
761551,1454249,Undirected,181,,1
761551,1472303,Undirected,182,,1
1168895,7458585,Undirected,183,,1
1168895,2004765,Undirected,184,,1
1168895,1151506,Undirected,185,,1
1168895,788578,Undirected,186,,1
8771820,177024,Undirected,187,,1
8771820,6936488,Undirected,188,,1
8771820,3234707,Undirected,189,,1
177024,6936488,Undirected,190,,1
177024,3234707,Undirected,191,,1
6936488,3234707,Undirected,192,,1
1497589,6390713,Undirected,193,,1
1497589,6467180,Undirected,194,,1
1497589,614691,Undirected,195,,2
1497589,2624527,Undirected,196,,1
1497589,155290,Undirected,197,,1
1497589,1692235,Undirected,198,,2
1497589,776311,Undirected,199,,1
1497589,567766,Undirected,200,,2
1497589,3964613,Undirected,201,,1
1497589,251070,Undirected,202,,1
1497589,428395,Undirected,203,,3
1497589,7458585,Undirected,204,,2
1497589,573108,Undirected,205,,1
1497589,199926,Undirected,206,,1
1497589,2345368,Undirected,207,,3
1497589,538415,Undirected,208,,1
1497589,2036897,Undirected,209,,1
1497589,526287,Undirected,210,,1
1497589,2509260,Undirected,211,,1
1497589,1864941,Undirected,212,,1
1497589,7366141,Undirected,213,,1
1497589,1710706,Undirected,214,,1
1497589,4411008,Undirected,215,,1
1497589,335430,Undirected,216,,1
1497589,440611,Undirected,217,,1
1497589,274316,Undirected,218,,1
1497589,542230,Undirected,219,,1
1497589,1007381,Undirected,220,,1
1497589,412859,Undirected,221,,1
1497589,1043365,Undirected,222,,1
1497589,3990124,Undirected,223,,1
1497589,1706762,Undirected,224,,1
1497589,1469137,Undirected,225,,1
1497589,6057472,Undirected,226,,1
1497589,2512658,Undirected,227,,1
1497589,7400804,Undirected,228,,1
1497589,429730,Undirected,229,,1
1497589,7323189,Undirected,230,,1
6390713,6467180,Undirected,231,,1
6390713,614691,Undirected,232,,1
6467180,614691,Undirected,233,,1
6467180,11444264,Undirected,234,,1
6467180,1625801,Undirected,235,,1
6467180,1637296,Undirected,236,,1
6467180,4287392,Undirected,237,,1
614691,1766809,Undirected,238,,1
614691,1083994,Undirected,239,,1
614691,278772,Undirected,240,,1
614691,1256145,Undirected,241,,1
614691,567766,Undirected,242,,1
614691,428395,Undirected,243,,1
614691,2345368,Undirected,244,,1
614691,5708381,Undirected,245,,1
614691,274316,Undirected,246,,1
2624527,155290,Undirected,247,,1
2624527,1692235,Undirected,248,,1
2624527,776311,Undirected,249,,1
155290,1692235,Undirected,250,,1
155290,776311,Undirected,251,,1
1692235,776311,Undirected,252,,1
1692235,567766,Undirected,253,,1
1692235,428395,Undirected,254,,1
1766809,1083994,Undirected,255,,2
1766809,278772,Undirected,256,,1
1766809,1256145,Undirected,257,,2
1766809,6499657,Undirected,258,,1
1766809,6829924,Undirected,259,,1
1083994,278772,Undirected,260,,1
1083994,1256145,Undirected,261,,2
1083994,6499657,Undirected,262,,1
1083994,6829924,Undirected,263,,1
1083994,4518268,Undirected,264,,1
1083994,3384936,Undirected,265,,1
1083994,1467223,Undirected,266,,1
1083994,1385181,Undirected,267,,1
1083994,1981138,Undirected,268,,1
1083994,2153813,Undirected,269,,1
1083994,2359572,Undirected,270,,1
278772,1256145,Undirected,271,,1
278772,1385181,Undirected,272,,1
278772,284330,Undirected,273,,1
278772,1454249,Undirected,274,,1
278772,6350800,Undirected,275,,1
1256145,6499657,Undirected,276,,1
1256145,6829924,Undirected,277,,1
11444264,1625801,Undirected,278,,1
11444264,1637296,Undirected,279,,1
11444264,4287392,Undirected,280,,1
1625801,1637296,Undirected,281,,1
1625801,4287392,Undirected,282,,1
1637296,4287392,Undirected,283,,1
4287392,7458585,Undirected,284,,1
4287392,3230990,Undirected,285,,1
4287392,6390559,Undirected,286,,1
4287392,2154099,Undirected,287,,1
4287392,4838217,Undirected,288,,1
4287392,2380478,Undirected,289,,1
4287392,1944298,Undirected,290,,1
4287392,4520938,Undirected,291,,1
6499657,6829924,Undirected,292,,1
4518268,3384936,Undirected,293,,1
4518268,1467223,Undirected,294,,1
3384936,1467223,Undirected,295,,1
1265720,567766,Undirected,296,,1
1265720,2423187,Undirected,297,,1
1265720,1068669,Undirected,298,,1
1265720,3558852,Undirected,299,,1
1265720,2789429,Undirected,300,,1
1265720,5379747,Undirected,301,,1
567766,2423187,Undirected,302,,1
567766,428395,Undirected,303,,2
567766,2345368,Undirected,304,,1
567766,297984,Undirected,305,,1
567766,284330,Undirected,306,,1
567766,7366141,Undirected,307,,1
567766,1710706,Undirected,308,,1
567766,5708381,Undirected,309,,1
3964613,251070,Undirected,310,,1
1423325,946943,Undirected,311,,1
1423325,5772041,Undirected,312,,1
1423325,1310844,Undirected,313,,1
1423325,1385181,Undirected,314,,1
946943,5772041,Undirected,315,,1
946943,1310844,Undirected,316,,1
946943,1385181,Undirected,317,,1
5772041,1310844,Undirected,318,,1
5772041,1385181,Undirected,319,,1
1310844,1385181,Undirected,320,,2
1310844,896095,Undirected,321,,1
1310844,4030821,Undirected,322,,1
1310844,4494827,Undirected,323,,1
1385181,896095,Undirected,324,,1
1385181,4030821,Undirected,325,,1
1385181,4494827,Undirected,326,,1
1385181,1981138,Undirected,327,,1
1385181,2153813,Undirected,328,,1
1385181,2359572,Undirected,329,,1
1385181,284330,Undirected,330,,1
1385181,1454249,Undirected,331,,1
1385181,6350800,Undirected,332,,1
896095,4030821,Undirected,333,,1
896095,4494827,Undirected,334,,1
4030821,4494827,Undirected,335,,1
2447079,11158588,Undirected,336,,1
2447079,3017142,Undirected,337,,1
2447079,2223236,Undirected,338,,1
2447079,4859767,Undirected,339,,1
11158588,3017142,Undirected,340,,1
11158588,2223236,Undirected,341,,1
11158588,4859767,Undirected,342,,1
3017142,2223236,Undirected,343,,1
3017142,4859767,Undirected,344,,1
2223236,4859767,Undirected,345,,1
4859767,7458585,Undirected,346,,1
4859767,1143918,Undirected,347,,1
4859767,178272,Undirected,348,,1
4859767,6257037,Undirected,349,,1
428395,1882081,Undirected,350,,1
428395,2345368,Undirected,351,,1
428395,297984,Undirected,352,,1
428395,284330,Undirected,353,,1
428395,335430,Undirected,354,,1
428395,440611,Undirected,355,,1
428395,274316,Undirected,356,,2
428395,545740,Undirected,357,,1
428395,1521653,Undirected,358,,1
7458585,1274326,Undirected,359,,1
7458585,1319565,Undirected,360,,1
7458585,5481041,Undirected,361,,1
7458585,2117883,Undirected,362,,1
7458585,2004765,Undirected,363,,1
7458585,1151506,Undirected,364,,1
7458585,788578,Undirected,365,,1
7458585,199926,Undirected,366,,1
7458585,2036897,Undirected,367,,1
7458585,526287,Undirected,368,,1
7458585,284330,Undirected,369,,1
7458585,1540153,Undirected,370,,1
7458585,5317756,Undirected,371,,1
7458585,1129744,Undirected,372,,1
7458585,4411008,Undirected,373,,1
7458585,2801177,Undirected,374,,1
7458585,6269734,Undirected,375,,1
7458585,1018573,Undirected,376,,1
7458585,3615917,Undirected,377,,1
7458585,1143918,Undirected,378,,1
7458585,178272,Undirected,379,,1
7458585,6257037,Undirected,380,,1
7458585,335430,Undirected,381,,1
7458585,1453793,Undirected,382,,1
7458585,552317,Undirected,383,,1
7458585,2212052,Undirected,384,,1
7458585,227328,Undirected,385,,1
7458585,6344338,Undirected,386,,1
7458585,7984176,Undirected,387,,1
7458585,900711,Undirected,388,,1
7458585,6881009,Undirected,389,,1
7458585,3065972,Undirected,390,,1
7458585,1048481,Undirected,391,,1
7458585,437248,Undirected,392,,1
7458585,805089,Undirected,393,,1
7458585,542230,Undirected,394,,1
7458585,1007381,Undirected,395,,1
7458585,412859,Undirected,396,,1
7458585,1300047,Undirected,397,,1
7458585,1281017,Undirected,398,,1
7458585,1083417,Undirected,399,,1
7458585,8134409,Undirected,400,,1
7458585,5947739,Undirected,401,,1
7458585,1656489,Undirected,402,,1
7458585,2380478,Undirected,403,,2
7458585,512651,Undirected,404,,1
7458585,1161897,Undirected,405,,1
7458585,1001616,Undirected,406,,1
7458585,1299262,Undirected,407,,2
7458585,1176913,Undirected,408,,1
7458585,427612,Undirected,409,,1
7458585,1039595,Undirected,410,,1
7458585,3303307,Undirected,411,,1
7458585,1666274,Undirected,412,,1
7458585,4001071,Undirected,413,,1
7458585,738059,Undirected,414,,1
7458585,7515409,Undirected,415,,1
7458585,1099003,Undirected,416,,1
7458585,6301641,Undirected,417,,1
7458585,1944298,Undirected,418,,1
7458585,4520938,Undirected,419,,1
1274326,1319565,Undirected,420,,1
1274326,5481041,Undirected,421,,1
1274326,2117883,Undirected,422,,1
1274326,1076590,Undirected,423,,1
1274326,3885666,Undirected,424,,1
1274326,4697413,Undirected,425,,1
1274326,525832,Undirected,426,,1
1319565,5481041,Undirected,427,,1
1319565,2117883,Undirected,428,,1
5481041,2117883,Undirected,429,,1
7193743,3002956,Undirected,430,,1
7193743,1882081,Undirected,431,,1
7193743,573108,Undirected,432,,1
7193743,1077628,Undirected,433,,1
3002956,1882081,Undirected,434,,1
3002956,573108,Undirected,435,,1
3002956,1077628,Undirected,436,,1
1882081,573108,Undirected,437,,1
1882081,1077628,Undirected,438,,1
1882081,274316,Undirected,439,,1
1882081,545740,Undirected,440,,1
1882081,1521653,Undirected,441,,1
573108,1077628,Undirected,442,,1
573108,2345368,Undirected,443,,1
573108,2509260,Undirected,444,,1
573108,1864941,Undirected,445,,1
1981138,2153813,Undirected,446,,1
1981138,2359572,Undirected,447,,1
2153813,2359572,Undirected,448,,1
2004765,1151506,Undirected,449,,1
2004765,788578,Undirected,450,,1
1151506,788578,Undirected,451,,1
1068669,3558852,Undirected,452,,1
1068669,2789429,Undirected,453,,1
1068669,5379747,Undirected,454,,1
3558852,2789429,Undirected,455,,1
3558852,5379747,Undirected,456,,1
2789429,5379747,Undirected,457,,1
808828,199926,Undirected,458,,1
808828,7078088,Undirected,459,,1
808828,3512225,Undirected,460,,1
808828,3364388,Undirected,461,,1
199926,7078088,Undirected,462,,1
199926,3512225,Undirected,463,,1
199926,3364388,Undirected,464,,1
199926,6533624,Undirected,465,,1
199926,1193998,Undirected,466,,1
199926,3274159,Undirected,467,,1
199926,3851278,Undirected,468,,1
199926,2036897,Undirected,469,,1
199926,526287,Undirected,470,,1
7078088,3512225,Undirected,471,,1
7078088,3364388,Undirected,472,,1
3512225,3364388,Undirected,473,,1
3512225,11456825,Undirected,474,,1
3512225,12834893,Undirected,475,,1
3512225,2345368,Undirected,476,,1
3512225,1737903,Undirected,477,,1
11456825,12834893,Undirected,478,,1
11456825,2345368,Undirected,479,,1
11456825,1737903,Undirected,480,,1
12834893,2345368,Undirected,481,,1
12834893,1737903,Undirected,482,,1
2345368,1737903,Undirected,483,,1
2345368,5694142,Undirected,484,,1
2345368,1724829,Undirected,485,,1
2345368,8750069,Undirected,486,,1
2345368,2494190,Undirected,487,,1
2345368,2509260,Undirected,488,,1
2345368,1864941,Undirected,489,,1
2345368,7366141,Undirected,490,,1
2345368,1710706,Undirected,491,,1
2345368,274316,Undirected,492,,1
2345368,1083417,Undirected,493,,1
2345368,1986208,Undirected,494,,1
2345368,3244099,Undirected,495,,1
2345368,1077699,Undirected,496,,1
1076590,6354428,Undirected,497,,1
1076590,173968,Undirected,498,,1
1076590,3885666,Undirected,499,,2
1076590,4697413,Undirected,500,,1
1076590,525832,Undirected,501,,1
6354428,173968,Undirected,502,,1
6354428,3885666,Undirected,503,,1
173968,3885666,Undirected,504,,1
3885666,4697413,Undirected,505,,1
3885666,525832,Undirected,506,,1
5694142,1724829,Undirected,507,,1
5694142,8750069,Undirected,508,,1
5694142,2494190,Undirected,509,,1
1724829,8750069,Undirected,510,,1
1724829,2494190,Undirected,511,,1
8750069,2494190,Undirected,512,,1
2494190,10324146,Undirected,513,,1
2494190,12557612,Undirected,514,,1
2494190,4138390,Undirected,515,,1
2494190,4403860,Undirected,516,,1
6533624,1193998,Undirected,517,,1
6533624,3274159,Undirected,518,,1
6533624,3851278,Undirected,519,,1
1193998,3274159,Undirected,520,,1
1193998,3851278,Undirected,521,,1
3274159,3851278,Undirected,522,,1
1055377,2004220,Undirected,523,,1
1055377,538415,Undirected,524,,1
1055377,1093012,Undirected,525,,1
1055377,3916508,Undirected,526,,1
2004220,538415,Undirected,527,,1
2004220,1093012,Undirected,528,,1
2004220,3916508,Undirected,529,,1
538415,1093012,Undirected,530,,1
538415,3916508,Undirected,531,,1
538415,4411008,Undirected,532,,1
538415,6057472,Undirected,533,,1
538415,2512658,Undirected,534,,1
1093012,3916508,Undirected,535,,1
4697413,525832,Undirected,536,,1
3230990,6390559,Undirected,537,,1
3230990,2154099,Undirected,538,,1
3230990,4838217,Undirected,539,,1
6390559,2154099,Undirected,540,,1
6390559,4838217,Undirected,541,,1
2154099,4838217,Undirected,542,,1
5896645,11468326,Undirected,543,,1
5896645,351663,Undirected,544,,1
5896645,12586897,Undirected,545,,1
11468326,351663,Undirected,546,,1
11468326,12586897,Undirected,547,,1
351663,12586897,Undirected,548,,1
10324146,12557612,Undirected,549,,1
10324146,4138390,Undirected,550,,1
10324146,4403860,Undirected,551,,1
12557612,4138390,Undirected,552,,1
12557612,4403860,Undirected,553,,1
