Source,Target,Type,Id,Label,Weight
7275100,4296777,Undirected,0,,1
6198662,2639518,Undirected,1,,2
6198662,4590835,Undirected,2,,1
2639518,4590835,Undirected,3,,1
2639518,7743570,Undirected,4,,1
4095151,4423008,Undirected,5,,1
3037365,2950265,Undirected,6,,1
3037365,4610793,Undirected,7,,1
3037365,7315655,Undirected,8,,1
3021023,3567391,Undirected,9,,1
3021023,2950265,Undirected,10,,1
3021023,707005,Undirected,11,,2
3021023,3436363,Undirected,12,,1
3021023,4881961,Undirected,13,,1
3021023,8162404,Undirected,14,,1
3021023,850114,Undirected,15,,1
3021023,1332560,Undirected,16,,1
3021023,7143656,Undirected,17,,2
3021023,4423008,Undirected,18,,1
3021023,6919359,Undirected,19,,1
3567391,7614261,Undirected,20,,1
3567391,6416815,Undirected,21,,1
3567391,3678488,Undirected,22,,1
3567391,2950265,Undirected,23,,1
3567391,707005,Undirected,24,,1
3567391,3436363,Undirected,25,,1
3567391,8162404,Undirected,26,,1
3567391,6803220,Undirected,27,,1
3567391,850114,Undirected,28,,1
3567391,8574585,Undirected,29,,1
3567391,6333605,Undirected,30,,1
3567391,4610793,Undirected,31,,1
3567391,7143656,Undirected,32,,2
3567391,675792,Undirected,33,,2
3567391,7446459,Undirected,34,,1
3567391,2530205,Undirected,35,,1
3567391,6816886,Undirected,36,,1
3567391,7315655,Undirected,37,,1
7614261,707005,Undirected,38,,1
7614261,3436363,Undirected,39,,2
7614261,6803220,Undirected,40,,1
7614261,8574585,Undirected,41,,1
7614261,6333605,Undirected,42,,1
7614261,4610793,Undirected,43,,1
7614261,675792,Undirected,44,,1
7614261,7446459,Undirected,45,,1
7614261,2530205,Undirected,46,,1
7614261,6816886,Undirected,47,,1
7614261,7315655,Undirected,48,,1
6416815,3193787,Undirected,49,,3
6416815,4296777,Undirected,50,,1
6416815,7357399,Undirected,51,,1
6416815,7143656,Undirected,52,,1
6416815,4450611,Undirected,53,,1
6416815,675792,Undirected,54,,1
3678488,6895354,Undirected,55,,1
3678488,8433987,Undirected,56,,1
3193787,4296777,Undirected,57,,1
3193787,7357399,Undirected,58,,1
4296777,7357399,Undirected,59,,1
2950265,3436363,Undirected,60,,1
2950265,8326554,Undirected,61,,1
2950265,8162404,Undirected,62,,1
2950265,850114,Undirected,63,,2
2950265,6333605,Undirected,64,,1
2950265,7143656,Undirected,65,,2
707005,3436363,Undirected,66,,2
707005,6803220,Undirected,67,,1
707005,8574585,Undirected,68,,1
707005,6333605,Undirected,69,,1
707005,4610793,Undirected,70,,1
707005,1332560,Undirected,71,,1
707005,7143656,Undirected,72,,1
707005,4423008,Undirected,73,,1
707005,6919359,Undirected,74,,1
707005,675792,Undirected,75,,1
707005,7446459,Undirected,76,,1
707005,2530205,Undirected,77,,1
707005,6816886,Undirected,78,,1
707005,7315655,Undirected,79,,1
6010919,7040577,Undirected,80,,2
6010919,7357399,Undirected,81,,1
6010919,4450611,Undirected,82,,1
7040577,7357399,Undirected,83,,1
7040577,4450611,Undirected,84,,1
4335993,7238024,Undirected,85,,1
3436363,6803220,Undirected,86,,1
3436363,850114,Undirected,87,,2
3436363,8574585,Undirected,88,,1
3436363,6333605,Undirected,89,,2
3436363,4610793,Undirected,90,,2
3436363,7143656,Undirected,91,,2
3436363,4423008,Undirected,92,,1
3436363,6919359,Undirected,93,,1
3436363,675792,Undirected,94,,2
3436363,7446459,Undirected,95,,1
3436363,2530205,Undirected,96,,1
3436363,6816886,Undirected,97,,1
3436363,1063452,Undirected,98,,1
3436363,7315655,Undirected,99,,1
7566776,4881961,Undirected,100,,1
7566776,8378471,Undirected,101,,1
7566776,6803220,Undirected,102,,1
7566776,6715482,Undirected,103,,1
7566776,8712540,Undirected,104,,1
7566776,7238024,Undirected,105,,1
7566776,6148342,Undirected,106,,1
7566776,7901413,Undirected,107,,1
7566776,8023812,Undirected,108,,1
7566776,7446459,Undirected,109,,1
7566776,7989885,Undirected,110,,1
7566776,8508795,Undirected,111,,1
7566776,3962805,Undirected,112,,1
7566776,7991713,Undirected,113,,1
7566776,7942147,Undirected,114,,1
7566776,9552650,Undirected,115,,1
7566776,8433987,Undirected,116,,1
9877038,8574585,Undirected,117,,1
9877038,1063452,Undirected,118,,1
7357399,4450611,Undirected,119,,1
4881961,6803220,Undirected,120,,1
4881961,6715482,Undirected,121,,1
4881961,8712540,Undirected,122,,1
4881961,7238024,Undirected,123,,1
4881961,6148342,Undirected,124,,1
4881961,7901413,Undirected,125,,1
4881961,8023812,Undirected,126,,1
4881961,7446459,Undirected,127,,1
4881961,7989885,Undirected,128,,1
4881961,8508795,Undirected,129,,1
4881961,3962805,Undirected,130,,1
4881961,7991713,Undirected,131,,1
4881961,7942147,Undirected,132,,1
4881961,9552650,Undirected,133,,1
4881961,8433987,Undirected,134,,1
2778885,7081907,Undirected,135,,1
2778885,8440236,Undirected,136,,1
2778885,6803220,Undirected,137,,1
7081907,6705684,Undirected,138,,1
7081907,8574585,Undirected,139,,1
7081907,6333605,Undirected,140,,1
7081907,675792,Undirected,141,,1
7081907,7070035,Undirected,142,,1
8162404,8378471,Undirected,143,,2
8162404,850114,Undirected,144,,1
8162404,7143656,Undirected,145,,1
6705684,9323080,Undirected,146,,1
6705684,8574585,Undirected,147,,1
6705684,6333605,Undirected,148,,1
6705684,675792,Undirected,149,,1
6705684,7070035,Undirected,150,,1
8440236,6803220,Undirected,151,,1
7232052,6816886,Undirected,152,,1
6895354,8433987,Undirected,153,,1
6803220,8574585,Undirected,154,,1
6803220,6333605,Undirected,155,,1
6803220,6715482,Undirected,156,,1
6803220,8712540,Undirected,157,,1
6803220,7238024,Undirected,158,,1
6803220,4610793,Undirected,159,,1
6803220,6148342,Undirected,160,,1
6803220,7901413,Undirected,161,,1
6803220,675792,Undirected,162,,1
6803220,8023812,Undirected,163,,1
6803220,7446459,Undirected,164,,2
6803220,7989885,Undirected,165,,1
6803220,8508795,Undirected,166,,1
6803220,2530205,Undirected,167,,1
6803220,6816886,Undirected,168,,1
6803220,3962805,Undirected,169,,1
6803220,7991713,Undirected,170,,1
6803220,7942147,Undirected,171,,1
6803220,7315655,Undirected,172,,1
6803220,9552650,Undirected,173,,1
6803220,8433987,Undirected,174,,1
850114,6333605,Undirected,175,,1
850114,4610793,Undirected,176,,1
850114,7143656,Undirected,177,,2
850114,6919359,Undirected,178,,1
850114,4450611,Undirected,179,,1
850114,675792,Undirected,180,,1
850114,1063452,Undirected,181,,1
850114,9552650,Undirected,182,,1
8574585,6333605,Undirected,183,,2
8574585,4610793,Undirected,184,,1
8574585,675792,Undirected,185,,2
8574585,7446459,Undirected,186,,1
8574585,2530205,Undirected,187,,1
8574585,6816886,Undirected,188,,1
8574585,7070035,Undirected,189,,1
8574585,7315655,Undirected,190,,1
6333605,4610793,Undirected,191,,1
6333605,7143656,Undirected,192,,1
6333605,675792,Undirected,193,,2
6333605,7446459,Undirected,194,,1
6333605,2530205,Undirected,195,,1
6333605,6816886,Undirected,196,,1
6333605,7070035,Undirected,197,,1
6333605,7315655,Undirected,198,,1
6715482,8712540,Undirected,199,,1
6715482,7238024,Undirected,200,,1
6715482,6148342,Undirected,201,,1
6715482,7901413,Undirected,202,,1
6715482,8023812,Undirected,203,,1
6715482,7446459,Undirected,204,,1
6715482,7989885,Undirected,205,,1
6715482,8508795,Undirected,206,,1
6715482,6816886,Undirected,207,,1
6715482,3962805,Undirected,208,,1
6715482,7991713,Undirected,209,,1
6715482,7942147,Undirected,210,,1
6715482,9552650,Undirected,211,,1
6715482,8433987,Undirected,212,,1
8712540,7238024,Undirected,213,,1
8712540,6148342,Undirected,214,,1
8712540,7901413,Undirected,215,,1
8712540,8023812,Undirected,216,,1
8712540,7446459,Undirected,217,,1
8712540,7989885,Undirected,218,,1
8712540,8508795,Undirected,219,,1
8712540,3962805,Undirected,220,,1
8712540,7991713,Undirected,221,,1
8712540,7942147,Undirected,222,,1
8712540,9552650,Undirected,223,,1
8712540,8433987,Undirected,224,,1
7238024,6148342,Undirected,225,,1
7238024,7901413,Undirected,226,,1
7238024,8023812,Undirected,227,,1
7238024,7446459,Undirected,228,,1
