Id,Label,Latitude,Longitude
6538798,Puente splau to Pedrolos Carrefur (by kiwi),41.343925,2.068576
7275100,Coast to coast 1,41.350235,2.047097
8813513,se te caen lo cacahuetes?,41.33602,2.099475
6276714,Full Gas!!,41.32778,2.036293
7119238,Carretera Santa Creu de Calafell,41.334538,2.045115
6198662,Carrer Saragossa Climb,41.342033,2.04891
2639518,viladecans -sant boi,41.319897,2.025974
7613721,"túnel a túnel ida Prat ",41.324238,2.072072
4095151,Nissan to Llobregat River Cornella-Splau,41.32661,2.110378
7894724,Bridge A2 Sant Joan,41.368057,2.048668
3037365,trialera dragon khan,41.414852,2.078717
3021023,Collserola - Pujada Sant Pere Martir (asfalt),41.390408,2.0993116
4590835,Drecera de Vallvidrera Climb,41.40662,2.104501
3567391,BCN-Molins: Ascension parte 2,41.40815,2.0889153
7614261,(SHERPAS) Crtra. Molins de La Creu a Containers,41.416126,2.059071
6416815,La Pantoja!!!,41.409393,2.065707
3678488,Tramo final plaza mireia,41.391666,2.091578
3193787,Cronoescalada Sprint bikes,41.39559,2.055962
4296777,Can Gelabert up,41.385696,2.067033
2950265,Trialera Camí Sta.Creu Olorda a Institut BUP (versió llarga),41.41426,2.0398824
707005,Siberia,41.436188,2.054422
6010919,Apreton Can Borrell -Pedala tu,41.46124,2.110603
7040577,ojo perros -subida,41.46476,2.108844
4335993,Esprint entrada St. Cugat,41.457718,2.089889
3436363,Arrabassada - Primer tram (St.Cugat),41.463493,2.087359
7566776,Sprint llegada a Sant Cugat,41.480396,2.101818
9877038,Baixada La Floresta Sant Cugat Arrebasada,41.44995,2.091264
7357399,Corriols i pista per la Rierada (by Ricard Ferrer),41.431477,2.032063
4881961,Repechón La Floresta,41.447536,2.068781
8326554,trialera de los hobbyts,41.457375,2.031372
2778885,Step 1 up to Estadi Olimpic,41.37112,2.1499605
7081907,"Entering the castell ",41.364643,2.165929
8162404,Carrer A uphill Sprint,41.3453,2.146622
6705684,SPRINT CALLE A,41.322906,2.132905
8440236,Pujada W,41.368385,2.189299
7232052,Bajada hasta semáforo c/del Foc,41.36028,2.149426
8378471,SPRINT CARRER A,41.334007,2.139525
6895354,Calle 6 (full),41.327435,2.113411
7743570,Sprint Ikea,41.352345,2.119378
9323080,Cerdà - Fira,41.364098,2.13404
6803220,last km tibi,41.422443,2.120691
6303892,Subida final Tibi Dabo,41.42064,2.119151
850114,Can Borni,41.417168,2.1287084
2456949,Trialera Raíces Shaman,41.416203,2.124536
8574585,TIBIDABO HILL CLIMB 2014,41.40436,2.116831
6333605,"Subida Tibidabo ctra san cugat, primeros 2 semáforos",41.41778,2.138593
6715482,Carles a UPC,41.38841,2.126314
7960128,Avinguda Maria Cristina,41.374393,2.149418
8712540,Passeig Maritim N,41.379135,2.192213
7238024,Pujada diagonal,41.405907,2.197157
4610793,Forat del vent (de pont a pont),41.482517,2.13278
1332560,Matamachos,41.447285,2.146974
7143656,21 curvas,41.44098,2.121754
6148342,mini raices up,41.431187,2.125696
4423008," Can Borrell-Ermita St. Medir ",41.458164,2.112558
6919359,Crtra Forat Vent - Forquilla F Groga,41.447247,2.13486
4450611,tramo a full,41.442062,2.136854
7901413,junto al río esquivando mosquitos y peatones,41.473312,2.189574
3454970,mini montaña rusa interior,41.471485,2.1424558
675792,"Forat del Vent (BCN) ",41.43704,2.1534817
6173244,BV-5001 Climb,41.42576,2.221782
8023812,VA POR TI GUS( PAJARERO),41.424244,2.224758
7446459,The last bitch,41.403748,2.215979
7989885,Avinguda Mariestany,41.417664,2.22491
10394165,Red Hook Crit Barcelona 2015 *official*,41.41127,2.225726
8508795,Forum al Rio,41.41118,2.21936
7446430,Nova Icària,41.390396,2.200416
3858133,Forum to Arts,41.40568,2.218977
2530205,Avinguda Diagonal,41.40997,2.212887
6816886,Mini Pujada del litoral,41.39664,2.208285
7070035,CADENA A MIRADOR VALLESANA,41.471546,2.225433
3962805,Repexo Montgat,41.46861,2.285474
7991713,Sprint del Molinet,41.44057,2.20966
7942147,Mur Badalona,41.46467,2.275015
1063452,Vallensana desde B20,41.465157,2.2383285
7315655,2 Finals Vallensana. ROAD.,41.482018,2.208578
6686788,hacia el curro,41.451534,2.200716
9552650,"Besòs - First Bridge ",41.42804,2.218619
8405258,Subida Merendero Bastida,41.459423,2.213343
8433987,Purito Mercadona (PAJAREROS),41.437763,2.242065
