Source,Target,Type,Id,Label,Weight
6961620,3917358,Undirected,0,,1
6961620,6397073,Undirected,1,,1
6961620,9582999,Undirected,2,,1
6961620,4863523,Undirected,3,,1
6961620,39235,Undirected,4,,1
6961620,2471250,Undirected,5,,1
6961620,5821543,Undirected,6,,1
6961620,1415665,Undirected,7,,1
6961620,1186680,Undirected,8,,1
6961620,8592589,Undirected,9,,1
6961620,432624,Undirected,10,,1
6961620,4191792,Undirected,11,,1
3917358,6397073,Undirected,12,,1
3917358,9582999,Undirected,13,,1
3917358,4863523,Undirected,14,,1
6397073,9582999,Undirected,15,,1
6397073,4863523,Undirected,16,,1
6397073,1049583,Undirected,17,,1
6397073,6994023,Undirected,18,,1
6397073,5712154,Undirected,19,,1
6397073,3004426,Undirected,20,,1
9582999,4863523,Undirected,21,,1
6388933,5986952,Undirected,22,,1
6388933,12896710,Undirected,23,,1
6388933,2984192,Undirected,24,,1
6388933,6061900,Undirected,25,,1
6388933,5228164,Undirected,26,,1
6388933,1476323,Undirected,27,,1
6388933,8607466,Undirected,28,,1
6388933,106639,Undirected,29,,1
6388933,5644607,Undirected,30,,1
6388933,3662533,Undirected,31,,1
6388933,1173818,Undirected,32,,1
6388933,2748816,Undirected,33,,1
5986952,12896710,Undirected,34,,1
5986952,2984192,Undirected,35,,2
5986952,6061900,Undirected,36,,1
5986952,3613592,Undirected,37,,2
5986952,7787809,Undirected,38,,1
5986952,1476323,Undirected,39,,1
5986952,2474364,Undirected,40,,1
5986952,6408990,Undirected,41,,1
5986952,4657642,Undirected,42,,1
5986952,6995653,Undirected,43,,1
5986952,1124374,Undirected,44,,1
5986952,1167297,Undirected,45,,1
5986952,5554443,Undirected,46,,1
12896710,2984192,Undirected,47,,1
12896710,6061900,Undirected,48,,1
2984192,6061900,Undirected,49,,1
2984192,3613592,Undirected,50,,1
2984192,7787809,Undirected,51,,1
2984192,1476323,Undirected,52,,1
2378916,1464843,Undirected,53,,1
2378916,8473626,Undirected,54,,1
2378916,1049583,Undirected,55,,1
2378916,39235,Undirected,56,,1
2378916,1733220,Undirected,57,,1
2378916,1098268,Undirected,58,,1
2378916,357273,Undirected,59,,1
2378916,3125678,Undirected,60,,1
2378916,3491340,Undirected,61,,1
2378916,1101224,Undirected,62,,1
2378916,3024775,Undirected,63,,1
2378916,2737819,Undirected,64,,1
1464843,8473626,Undirected,65,,1
1464843,1049583,Undirected,66,,1
1464843,39235,Undirected,67,,1
8473626,1049583,Undirected,68,,1
8473626,39235,Undirected,69,,1
1049583,39235,Undirected,70,,1
1049583,6994023,Undirected,71,,1
1049583,5712154,Undirected,72,,1
1049583,3004426,Undirected,73,,1
1049583,1529959,Undirected,74,,1
1049583,2644124,Undirected,75,,1
1049583,3308737,Undirected,76,,1
1049583,4222176,Undirected,77,,1
39235,2471250,Undirected,78,,1
39235,5821543,Undirected,79,,1
39235,1415665,Undirected,80,,1
39235,1517203,Undirected,81,,1
39235,1625366,Undirected,82,,1
39235,1402451,Undirected,83,,1
39235,1515039,Undirected,84,,1
6994023,5712154,Undirected,85,,1
6994023,3004426,Undirected,86,,1
5712154,3004426,Undirected,87,,1
5228164,687732,Undirected,88,,1
5228164,2625266,Undirected,89,,1
5228164,3100835,Undirected,90,,1
5228164,2427606,Undirected,91,,1
5228164,8607466,Undirected,92,,1
5228164,106639,Undirected,93,,1
5228164,5644607,Undirected,94,,1
687732,2625266,Undirected,95,,1
687732,3100835,Undirected,96,,1
687732,2427606,Undirected,97,,1
2625266,3100835,Undirected,98,,1
2625266,2427606,Undirected,99,,1
3100835,2427606,Undirected,100,,1
2471250,5821543,Undirected,101,,1
2471250,1415665,Undirected,102,,1
5821543,1415665,Undirected,103,,1
5821543,4453866,Undirected,104,,1
5821543,5933662,Undirected,105,,1
5821543,1183586,Undirected,106,,1
5821543,8066492,Undirected,107,,1
1415665,10538025,Undirected,108,,1
1415665,1045172,Undirected,109,,1
1415665,5882521,Undirected,110,,1
1415665,750680,Undirected,111,,1
1186680,8592589,Undirected,112,,1
1186680,432624,Undirected,113,,1
1186680,4191792,Undirected,114,,1
8592589,432624,Undirected,115,,1
8592589,4191792,Undirected,116,,1
432624,4191792,Undirected,117,,1
1733220,1098268,Undirected,118,,1
1733220,357273,Undirected,119,,1
1733220,3125678,Undirected,120,,1
1098268,357273,Undirected,121,,1
1098268,3125678,Undirected,122,,1
357273,3125678,Undirected,123,,1
10538025,1045172,Undirected,124,,1
10538025,5882521,Undirected,125,,1
10538025,750680,Undirected,126,,1
1045172,5882521,Undirected,127,,1
1045172,750680,Undirected,128,,1
1045172,1183586,Undirected,129,,1
1045172,2983625,Undirected,130,,1
1045172,7410350,Undirected,131,,1
1045172,6051868,Undirected,132,,1
5882521,750680,Undirected,133,,1
1570533,1585223,Undirected,134,,1
1570533,5233679,Undirected,135,,1
1570533,10064936,Undirected,136,,1
1570533,7635297,Undirected,137,,1
1585223,5233679,Undirected,138,,1
1585223,10064936,Undirected,139,,1
1585223,7635297,Undirected,140,,1
1585223,3787502,Undirected,141,,1
1585223,554992,Undirected,142,,1
1585223,3475376,Undirected,143,,1
1585223,2769500,Undirected,144,,1
1585223,1018382,Undirected,145,,1
1585223,5830031,Undirected,146,,1
1585223,4015107,Undirected,147,,1
1585223,4654810,Undirected,148,,1
5233679,10064936,Undirected,149,,1
5233679,7635297,Undirected,150,,1
10064936,7635297,Undirected,151,,1
3613592,7787809,Undirected,152,,1
3613592,1476323,Undirected,153,,1
3613592,5009464,Undirected,154,,1
