Source,Target,Type,Id,Label,Weight
8551820,3524337,Undirected,0,,1
8551820,8876982,Undirected,1,,1
8551820,2501450,Undirected,2,,1
4273053,3271181,Undirected,3,,2
4273053,9142399,Undirected,4,,1
4273053,7426636,Undirected,5,,1
4273053,4938120,Undirected,6,,1
4273053,6568656,Undirected,7,,1
8222742,3524337,Undirected,8,,1
8222742,8876982,Undirected,9,,1
8222742,7667303,Undirected,10,,1
8222742,7469701,Undirected,11,,1
8222742,8477483,Undirected,12,,1
8222742,3745957,Undirected,13,,1
3524337,8477483,Undirected,14,,1
5019042,9142399,Undirected,15,,1
8876982,2501450,Undirected,16,,1
8876982,7667023,Undirected,17,,1
8876982,7469701,Undirected,18,,1
8876982,1240431,Undirected,19,,1
7667303,3745957,Undirected,20,,1
7667023,7443177,Undirected,21,,1
6920808,2323452,Undirected,22,,1
6920808,6811693,Undirected,23,,1
3271181,6393236,Undirected,24,,1
3271181,1790307,Undirected,25,,1
3271181,7426636,Undirected,26,,2
3271181,4938120,Undirected,27,,1
3271181,6568656,Undirected,28,,1
3271181,3603222,Undirected,29,,1
3271181,8619505,Undirected,30,,1
6393236,1790307,Undirected,31,,2
6393236,7426636,Undirected,32,,1
6393236,8533448,Undirected,33,,1
1790307,7426636,Undirected,34,,1
1790307,6568656,Undirected,35,,1
1790307,6153169,Undirected,36,,1
1790307,3603222,Undirected,37,,1
9142399,4938120,Undirected,38,,1
7426636,6568656,Undirected,39,,1
4938120,3603222,Undirected,40,,1
4938120,8619505,Undirected,41,,1
6568656,6153169,Undirected,42,,1
6153169,7469701,Undirected,43,,1
6153169,7507985,Undirected,44,,1
6153169,6195512,Undirected,45,,1
6153169,10331666,Undirected,46,,1
6153169,5975240,Undirected,47,,1
6153169,1228625,Undirected,48,,1
6153169,3807283,Undirected,49,,1
3603222,8619505,Undirected,50,,2
3603222,8200739,Undirected,51,,1
3603222,10331666,Undirected,52,,1
3603222,2553662,Undirected,53,,1
3301166,3301185,Undirected,54,,3
3301166,2813149,Undirected,55,,2
3301185,2813149,Undirected,56,,2
3301185,6195512,Undirected,57,,1
8200739,6944661,Undirected,58,,1
8200739,3364802,Undirected,59,,1
8200739,7021711,Undirected,60,,1
8200739,8987105,Undirected,61,,1
8200739,2315041,Undirected,62,,1
8200739,2553662,Undirected,63,,1
8200739,6295732,Undirected,64,,1
8200739,7077995,Undirected,65,,1
8200739,7121271,Undirected,66,,1
8200739,3364826,Undirected,67,,1
8200739,4492800,Undirected,68,,1
8200739,1004389,Undirected,69,,1
8200739,3343285,Undirected,70,,1
8200739,7257529,Undirected,71,,1
8200739,798190,Undirected,72,,1
8200739,4604984,Undirected,73,,1
8200739,6561792,Undirected,74,,1
7469701,10331666,Undirected,75,,1
7469701,9978210,Undirected,76,,1
7469701,1228625,Undirected,77,,1
7469701,3807283,Undirected,78,,1
7507985,6195512,Undirected,79,,1
7507985,5975240,Undirected,80,,1
6195512,5975240,Undirected,81,,1
3745957,7936925,Undirected,82,,1
6944661,7436778,Undirected,83,,2
